symbol,trigger_ts,trigger_date,oi_mc,surge,log_mc_usd,log_oi_usd,change_before_24h,volatility_24h,volume_ratio,price_range_24h,body_ratio,consecutive_green,rsi_14,bb_position,atr_pct,oi_change_1h,oi_change_24h,oi_acceleration,vol_range_ratio,oi_surge_ratio,pre_surge_ratio,return_24h,return_48h,return_7d,label_long,label_short,label,max_profit_24h,max_drawdown_24h
H/USDT,2025-10-24 18:45:00+00:00,2025-10-24,1.6097,0.1203,7.547431095460649,7.7541745066745325,111.96,0.026253599773838537,11.516820794562667,1.2374681100461975,0.6750202101859331,2.0,92.35193219654931,1.394056671523832,0.04478729709489045,0.02037711856810816,0.15116134949883323,0.02180985716727528,9.306761686273045,1.2565365710626202,9.306733167082292,11.15,19.37,-10.36,long,not_short,long,30.254398096034496,-11.809732094040449
FUN/USDT,2025-10-28 04:45:00+00:00,2025-10-28,0.9438,0.1079,6.620477211833438,6.595361613768501,20.39,0.012938631511600001,58.09542687124633,0.3210526315789474,0.8151093439363821,5.0,84.70451911935109,1.4463939111006037,0.02336274177129284,0.37007034836743213,0.41852323431547067,0.36338742747661873,180.95296894322624,3.8788066201619156,1.8897126969416127,-21.85,-21.28,-38.36,not_long,short,short,1.7577197149643675,-24.22802850356295
KERNEL/USDT,2025-10-28 07:00:00+00:00,2025-10-28,0.2293,0.2758,7.780085612216026,7.140508357288776,21.05,0.02531930551839835,652.4299803970491,0.6212871287128714,0.46907216494845344,3.0,93.53049907578563,1.5862819355954183,0.03861554122836783,2.007135191307304,1.920646690343864,1.9971367461481027,1050.126342949832,6.96391113250132,0.7632342277012328,-23.85,-33.54,-52.68,not_long,short,short,24.46555819477436,-26.08076009501188
ENSO/USDT,2025-10-29 06:30:00+00:00,2025-10-29,0.3407,0.2269,7.67292251122478,7.205344431112427,22.23,0.025132590525779937,50.08732792429523,0.7084917617237009,0.506586826347305,4.0,96.08150470219437,1.5436309196651994,0.04672371790867638,0.5811069515575954,0.9406844593012837,0.582334506067649,70.69570971783352,4.145810750556562,0.9797267518730719,-31.26,-35.81,-50.37,not_long,short,short,17.883690424136446,-34.062090074333184
OL/USDT,2025-10-29 09:15:00+00:00,2025-10-29,0.3331,0.1044,7.512284143385347,7.034920053822092,15.61,0.028823989858062088,3.1274134475404587,0.6928653185806943,0.5907046476761616,4.0,79.57957957957954,1.3175265094998396,0.042576157351882964,0.08480378889138786,0.006479405977634862,0.07326633690648388,4.513739342512964,0.062063275647843495,1.4952107279693485,-17.34,-26.41,-49.29,not_long,short,short,9.978412089230048,-19.405133125449748
LAB/USDT,2025-10-30 18:15:00+00:00,2025-10-30,0.6238,0.208,7.163498746792184,6.958516533464674,32.13,0.03263220929494134,29.75397133147624,0.6955808734679786,0.662222222222222,2.0,87.87476490762253,1.410924682363153,0.05837811064749497,0.9605382846677579,0.8390203184027588,0.978691760658132,42.7757180601171,4.033751530782494,1.5447115384615386,9.1,-12.36,-19.86,not_long,not_short,skip,164.7404916999369,-22.80416053792814
PIPPIN/USDT,2025-10-30 19:30:00+00:00,2025-10-30,0.341,0.3711,7.513988800102837,7.046754726958586,72.62,0.035085947704879064,33.52644985011221,0.9976498237367804,0.845933014354067,8.0,90.16990291262135,1.4548169881954083,0.05625054675881375,0.048317172381474836,0.1616644084245394,0.08624938103557928,33.605428530560054,0.43563570041643607,1.956884936674751,14.39,19.23,-7.62,long,not_short,long,28.169014084507047,-27.89344764237599
SOLV/USDT,2025-11-03 15:45:00+00:00,2025-11-03,0.3893,0.1113,7.506882907105541,7.097137211185599,10.11,0.018577567871185894,5.207198459413602,0.22418405564472996,0.6999999999999997,1.0,68.13380281690141,1.3033672662609688,0.038895115037247074,0.04771802505204547,0.19715929661454626,0.05475369534869675,23.22733632611937,1.7714222517030211,0.908355795148248,-7.29,-19.47,-19.7,not_long,not_short,skip,13.013382556529773,-10.429164743885543
ALPINE/USDT,2025-11-04 16:30:00+00:00,2025-11-04,0.2758,0.1366,6.94310812866303,6.383764396199146,18.96,0.015269393831723498,14.382056932894995,0.3045342126957955,0.7656765676567658,1.0,83.70000000000005,1.3841830844625596,0.03135753135753137,0.14060490211748242,0.07440135420691843,0.052254726623117864,47.22640784949007,0.5446658433888611,1.3879941434846268,-11.78,-14.69,-5.53,not_long,short,short,9.880859880859894,-14.918414918414912
ENSO/USDT,2025-11-05 03:00:00+00:00,2025-11-05,0.2473,0.1138,7.387008049004932,6.780251406733281,9.83,0.015794396998115467,13.342771745511232,0.20300000000000007,0.8344827586206895,3.0,68.4397163120567,1.3267219672595922,0.02545849420849423,0.10381612376274524,-0.02594169923182816,0.10812653427102234,65.72793963306023,-0.2279586927225673,0.8637961335676626,-10.64,-9.54,-13.18,not_long,short,short,5.236486486486491,-11.48648648648648
