symbol,trigger_date,trigger_ts,oi_mc,oi_coins,oi_usd,mc_usd,surge_15m,price_before_24h,price_at_trigger,price_after_24h,price_after_48h,price_after_7d,change_before_24h_pct,return_24h_pct,return_48h_pct,return_7d_pct
ZBT/USDT,2026-01-15,2026-01-15 10:00:00,0.2451,60038299.0,7690906.0,31383499.0,0.1188,0.1136,0.1281,0.1073,0.1054,0.0941,12.76,-16.24,-17.72,-26.54
STO/USDT,2026-01-17,2026-01-17 19:30:00,0.234,52727650.0,5194201.0,22197587.0,0.1096,0.07554,0.09851,0.1152,0.10334,0.08229,30.41,16.94,4.9,-16.47
ARPA/USDT,2026-01-19,2026-01-19 21:45:00,0.4043,397103362.0,8652882.0,21401585.0,0.164,0.01323,0.02179,0.01572,0.01616,0.01284,64.7,-27.86,-25.84,-41.07
SKYAI/USDT,2026-01-19,2026-01-19 06:00:00,0.2011,201093388.0,9306602.0,46280000.0,0.1035,0.04112,0.04628,0.04597,0.04314,0.03944,12.55,-0.67,-6.78,-14.78
NAORIS/USDT,2026-01-20,2026-01-20 23:45:00,0.2466,147791513.0,5416559.0,21962879.0,0.1364,0.024,0.03665,0.0299,0.03222,0.02799,52.71,-18.42,-12.09,-23.63
AIA/USDT,2026-01-21,2026-01-21 00:15:00,0.2797,27826502.0,7856256.0,28091835.0,0.1075,0.28672,0.28233,0.2149,0.22721,0.17465,-1.53,-23.88,-19.52,-38.14
BLUAI/USDT,2026-01-23,2026-01-23 17:15:00,0.3132,384635962.0,5001037.0,15966456.0,0.3972,0.006269,0.013002,0.006814,0.007106,0.007872,107.4,-47.59,-45.35,-39.46
ENSO/USDT,2026-01-24,2026-01-24 03:15:00,0.5655,11643764.0,13744299.0,24304436.0,0.1341,0.6497,1.1804,2.143,1.4209,1.724,81.68,81.55,20.37,46.05
BULLA/USDT,2026-01-25,2026-01-25 10:00:00,0.4519,126545645.0,4429098.0,9800000.0,0.1298,0.03041,0.035,0.03378,0.03156,0.4064,15.09,-3.49,-9.83,1061.14
NOM/USDT,2026-01-25,2026-01-25 00:45:00,0.4192,419227062.0,5046236.0,12037000.0,0.1488,0.007334,0.012037,0.012173,0.010699,0.008027,64.13,1.13,-11.12,-33.31
4/USDT,2026-01-27,2026-01-27 12:45:00,0.4107,410708886.0,7594007.0,18490000.0,0.1371,0.01662,0.01849,0.01796,0.01724,0.0124,11.25,-2.87,-6.76,-32.94
PTB/USDT,2026-01-27,2026-01-27 16:30:00,1.3563,2808626027.0,9389237.0,6922937.0,0.1008,0.002086,0.003343,0.002531,0.002136,0.001589,60.26,-24.29,-36.11,-52.47
AIA/USDT,2026-01-28,2026-01-28 15:00:00,0.3897,38770574.0,7885159.0,20236310.0,0.1633,0.16707,0.20338,0.16594,0.16527,0.11661,21.73,-18.41,-18.74,-42.66
BULLA/USDT,2026-02-01,2026-02-01 08:30:00,0.2191,61339885.0,28074039.0,128150400.0,0.1093,0.1312,0.45768,0.01608,0.02659,0.02524,248.84,-96.49,-94.19,-94.49
ZKP/USDT,2026-02-01,2026-02-01 00:45:00,0.3873,78108595.0,8142040.0,21021733.0,0.1342,0.09661,0.10424,0.08662,0.08547,0.07868,7.9,-16.9,-18.01,-24.52
F/USDT,2026-02-02,2026-02-02 00:15:00,0.4354,435353276.0,2602977.0,5979000.0,0.1085,0.005503,0.005979,0.006033,0.005924,0.006049,8.65,0.9,-0.92,1.17
PARTI/USDT,2026-02-05,2026-02-05 13:45:00,0.7122,165940807.0,14041911.0,19716460.0,0.1407,0.07548,0.08462,0.08695,0.09675,0.09895,12.11,2.75,14.33,16.93
ENSO/USDT,2026-02-07,2026-02-07 00:00:00,0.415,8544373.0,13563338.0,32684566.0,0.1222,1.249,1.5874,1.3575,1.358,1.2443,27.09,-14.48,-14.45,-21.61
LA/USDT,2026-02-07,2026-02-07 01:45:00,0.4585,27821397.0,6304329.0,13750088.0,0.1235,0.1745,0.2266,0.2637,0.2351,0.2201,29.86,16.37,3.75,-2.87
PTB/USDT,2026-02-07,2026-02-07 12:00:00,1.062,2199173731.0,3421914.0,3222282.0,0.1586,0.001218,0.001556,0.001814,0.00177,0.001407,27.75,16.58,13.75,-9.58
FHE/USDT,2026-02-08,2026-02-08 14:00:00,0.4134,102943293.0,10223298.0,24728190.0,0.1091,0.09365,0.09931,0.081,0.12202,0.03938,6.04,-18.44,22.87,-60.35
BLESS/USDT,2026-02-11,2026-02-11 16:45:00,0.2067,380739483.0,2121480.0,10261767.0,0.1302,0.004706,0.005572,0.005773,0.006006,0.005278,18.4,3.61,7.79,-5.28
TAKE/USDT,2026-02-12,2026-02-12 01:15:00,0.4649,115515030.0,4126197.0,8874830.0,0.1556,0.02022,0.03572,0.03889,0.05518,0.02342,76.66,8.87,54.48,-34.43
AIA/USDT,2026-02-13,2026-02-13 16:00:00,0.3929,39098372.0,5076142.0,12918085.0,0.112,0.1019,0.12983,0.12776,0.11738,0.10589,27.41,-1.59,-9.59,-18.44
EDEN/USDT,2026-02-15,2026-02-15 18:30:00,0.3676,58578028.0,2326719.0,6328953.0,0.153,0.03463,0.03972,0.03392,0.03516,0.03331,14.7,-14.6,-11.48,-16.14
VIC/USDT,2026-02-15,2026-02-15 18:30:00,0.2161,27189638.0,1591410.0,7364250.0,0.1185,0.05421,0.05853,0.04996,0.05048,0.04666,7.97,-14.64,-13.75,-20.28
ESP/USDT,2026-02-16,2026-02-16 18:15:00,0.2337,121654603.0,7712902.0,33002870.0,0.1068,0.05309,0.0634,0.05942,0.08202,0.11055,19.42,-6.28,29.37,74.37
BLUAI/USDT,2026-02-17,2026-02-17 00:15:00,0.4337,532571988.0,3688594.0,8505128.0,0.1337,0.005429,0.006926,0.005471,0.005364,0.00517,27.57,-21.01,-22.55,-25.35
AGLD/USDT,2026-02-22,2026-02-22 09:45:00,0.376,32873818.0,10743164.0,28572124.0,0.245,0.2277,0.3268,0.3501,0.2766,0.2241,43.52,7.13,-15.36,-31.43
BULLA/USDT,2026-02-23,2026-02-23 19:15:00,1.213,339651115.0,18052457.0,14882000.0,0.1052,0.02724,0.05315,0.02416,0.01765,0.02566,95.12,-54.54,-66.79,-51.72
LA/USDT,2026-02-23,2026-02-23 00:00:00,0.4392,26647639.0,6320820.0,14393296.0,0.1157,0.2065,0.2372,0.2296,0.2388,0.2118,14.87,-3.2,0.67,-10.71
GRIFFAIN/USDT,2026-02-25,2026-02-25 16:00:00,0.2159,215874169.0,2091821.0,9688557.0,0.2052,0.00765,0.00969,0.00948,0.00888,0.00961,26.67,-2.17,-8.36,-0.83
DENT/USDT,2026-02-26,2026-02-26 11:00:00,0.2823,27003106355.0,11125280.0,39409844.0,0.1444,0.00023,0.000412,0.000299,0.000267,0.000236,79.13,-27.43,-35.19,-42.72
FIO/USDT,2026-02-28,2026-02-28 16:15:00,0.2221,187148545.0,1796626.0,8088832.0,0.2152,0.00829,0.0096,0.01113,0.01102,0.00808,15.8,15.94,14.79,-15.83
HIPPO/USDT,2026-03-01,2026-03-01 14:45:00,0.4264,4263926955.0,2802679.0,6573000.0,0.1177,0.0005371,0.0006573,0.0007642,0.0006913,0.0007264,22.38,16.26,5.17,10.51
TRU/USDT,2026-03-02,2026-03-02 16:30:00,0.2774,398157749.0,2356696.0,8495766.0,0.1721,0.004621,0.005919,0.00505,0.005254,0.004982,28.09,-14.68,-11.24,-15.83
